date,total_pnl,num_trades,avg_size,total_volume,wins,losses,longs,shorts,win_rate,ls_ratio,fg_index,sentiment,sentiment_enc,next_day_pnl,target,pnl_std,vol_bucket
2024-01-06,135.58166400000002,22,13569.154545454547,298521.4,10.0,2.0,19.0,3.0,0.8333333332638889,6.333333331222222,70.0,Greed,3,-835.681235,0,392.16208254701115,Low
2024-01-07,-835.681235,97,10812.887216494846,1048850.06,9.0,28.0,79.0,18.0,0.24324324323666913,4.388888888645062,71.0,Greed,3,-269.874439,0,578.7258321267528,Low
2024-01-08,-269.874439,128,11894.159609375,1522452.43,32.0,35.0,81.0,47.0,0.4776119402913789,1.7234042552824809,71.0,Greed,3,-826.349863,0,591.5442392420823,Low
2024-01-09,-826.349863,70,12429.313857142857,870051.97,18.0,10.0,50.0,20.0,0.6428571428341837,2.499999999875,76.0,Extreme Greed,1,-1517.091342,0,599.2518859880118,Low
2024-01-10,-1517.091342,193,10660.515440414507,2057479.48,41.0,42.0,103.0,90.0,0.4939759036085063,1.1444444444317283,73.0,Greed,3,-164.08950099999998,0,622.7870380632644,Low
2024-01-11,-164.08950099999998,21,14538.766666666666,305314.1,5.0,4.0,12.0,9.0,0.5555555554938272,1.333333333185185,76.0,Extreme Greed,1,-1925.519024,0,613.6674509443231,Low
2024-01-12,-1925.519024,7,28583.181428571428,200082.27,0.0,2.0,7.0,0.0,0.0,7000000000.0,71.0,Greed,3,152.85358,1,745.8961107766862,Low
2024-01-15,152.85358,14,3616.8642857142854,50636.1,9.0,0.0,14.0,0.0,0.9999999998888889,14000000000.0,52.0,Neutral,4,-2299.171458,0,749.4184724781124,Low
2024-01-16,-2299.171458,9,12936.37,116427.33,3.0,2.0,9.0,0.0,0.59999999988,9000000000.0,64.0,Greed,3,813.2741110000001,1,948.6502683389496,Low
2024-01-17,813.2741110000001,53,15110.019433962265,800831.03,11.0,8.0,28.0,25.0,0.5789473683905817,1.1199999999552,60.0,Greed,3,68.93319,1,1150.3801472913779,Low
2024-01-18,68.93319,46,9231.120217391304,424631.52999999997,3.0,6.0,21.0,25.0,0.3333333332962963,0.8399999999664,63.0,Greed,3,-385.419235,0,1198.7895874871529,Low
2024-01-19,-385.419235,48,8925.603541666665,428428.97,6.0,21.0,32.0,17.0,0.22222222221399177,1.882352941065744,51.0,Neutral,4,-146.57487000000003,0,1144.662185123303,Low
2024-01-20,-146.57487000000003,106,10095.193490566038,1070090.51,15.0,17.0,62.0,44.0,0.4687499999853516,1.4090909090588843,52.0,Neutral,4,266.58114600000005,1,1145.624679352609,Low
2024-01-21,266.58114600000005,11,9375.43090909091,103129.74,3.0,2.0,4.0,7.0,0.59999999988,0.5714285713469388,56.0,Greed,3,1375.640959,1,990.169331126594,Low
2024-01-22,1375.640959,85,3975.0469411764707,337878.99,23.0,18.0,50.0,35.0,0.5609756097424152,1.4285714285306124,55.0,Greed,3,-369.2447299999998,0,1159.9138389187426,Low
2024-01-23,-369.2447299999998,45,9211.531777777778,414518.93000000005,11.0,9.0,27.0,18.0,0.5499999999725,1.4999999999166667,50.0,Neutral,4,-2808.353815,0,653.1464168550231,Low
2024-01-24,-2808.353815,68,14192.42044117647,965084.59,10.0,30.0,41.0,27.0,0.24999999999375003,1.5185185184622771,48.0,Neutral,4,-3093.6293849999997,0,1264.3110350424317,Low
2024-01-25,-3093.6293849999997,6,11094.355000000001,66566.13,0.0,6.0,6.0,0.0,0.0,6000000000.0,52.0,Neutral,4,90.2,1,1629.0124748391454,Low
2024-01-26,90.2,5,2354.642,11773.21,1.0,0.0,5.0,0.0,0.9999999989999999,5000000000.0,49.0,Neutral,4,-2478.06972,0,1655.8329324445378,Low
2024-01-28,-2478.06972,11,1646.2754545454545,18109.03,0.0,11.0,11.0,0.0,0.0,11000000000.0,54.0,Neutral,4,486.562542,1,1764.103311025368,Low
2024-01-29,486.562542,74,5597.407837837838,414208.18,45.0,0.0,46.0,28.0,0.9999999999777779,1.6428571427984693,55.0,Greed,3,-173.65419100000003,0,1792.2123612159492,Low
2024-01-30,-173.65419100000003,49,8183.905714285715,401011.38,5.0,14.0,19.0,30.0,0.26315789472299167,0.6333333333122222,61.0,Greed,3,-799.840817,0,1530.704199683322,Low
2024-01-31,-799.840817,859,7340.683504074505,6305647.13,231.0,205.0,408.0,453.0,0.5298165137602527,0.9006622516536409,60.0,Greed,3,0.0,0,1500.4686911188055,Low
2024-02-01,0.0,6,334.69666666666666,2008.18,0.0,0.0,6.0,0.0,0.0,6000000000.0,63.0,Greed,3,456.423473,1,1386.678908054241,Low
2024-02-02,456.423473,42,11292.343571428572,474278.43,13.0,8.0,28.0,14.0,0.6190476190181405,1.999999999857143,63.0,Greed,3,223.30918699999998,1,1035.0864890570215,Low
2024-02-03,223.30918699999998,56,10782.5,603820.0,6.0,6.0,18.0,38.0,0.49999999995833333,0.47368421051385046,60.0,Greed,3,47.62389499999999,1,1045.5937608752208,Low
2024-02-04,47.62389499999999,35,5805.358,203187.53,9.0,19.0,23.0,12.0,0.32142857141709186,1.9166666665069445,60.0,Greed,3,-33.45419400000003,0,439.4777118803134,Low
2024-02-05,-33.45419400000003,72,10697.198055555556,770198.26,14.0,18.0,47.0,25.0,0.43749999998632816,1.8799999999248,60.0,Greed,3,-215.615907,0,391.6440291261578,Low
2024-02-06,-215.615907,1088,7396.280707720588,8047153.41,179.0,344.0,541.0,564.0,0.34225621414848517,0.9592198581543276,64.0,Greed,3,241.24212,1,394.34357276776393,Low
2024-02-07,241.24212,15,450.582,6758.73,2.0,0.0,5.0,10.0,0.9999999995,0.49999999995,62.0,Greed,3,770.756024,1,220.72017822175462,Low
2024-02-08,770.756024,10,2605.112,26051.12,4.0,0.0,4.0,6.0,0.99999999975,0.6666666665555555,66.0,Greed,3,983.443176,1,327.3762144329439,Low
2024-02-11,983.443176,34,6244.465294117647,212311.82,7.0,0.0,22.0,12.0,0.9999999998571428,1.8333333331805555,71.0,Greed,3,913.8817869999998,1,435.470626608312,Low
