Account,total_trades,total_pnl,avg_pnl,pnl_std,avg_size,total_volume,win_rate,long_pct,Cluster,Archetype,pca1,pca2
0x083384f897ee0f19899168e3b1bec365f52a9012,1732,1600229.819979,923.9202193874133,6934.502297410751,17435.058810623555,30197521.86,0.7927251732101617,0.1495547407019382,3,Volatile/Risky,3.846180994102103,-0.4332637468694479
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,4166,47885.320514,11.494316013922226,177.0843329647407,1454.1281349015842,6057897.81,0.7736437830052808,0.19848901098901098,2,Struggling,-0.8821441845622127,-1.1218030114150421
0x271b280974205ca63b716753467d5a371de622ab,1607,-70436.191318,-43.83085956316117,834.2089203106481,10563.420199128812,16975416.26,0.7156191661481021,0.046993961669729585,2,Struggling,-0.26979634494710114,-1.3977960139729297
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,6772,132464.814554,19.560663696692263,158.21599587517446,507.39010336680445,3436045.78,0.8620791494388659,0.44835098790474043,1,Moderate,-1.2224380898695888,-0.1421549435684908
0x2c229d22b100a7beb69122eed721cee9b24011dd,2060,168658.004994,81.87281795825243,316.99169302712363,2508.635145631068,5167788.4,0.8174757281553398,0.9993825254708243,1,Moderate,-1.0941956661100967,0.9788686890293394
0x3998f134d6aaa2b6a5f723806d00fd2bbbbce891,570,-31203.599986,-54.74315787017544,667.6621913263118,1436.7391052631579,818941.29,0.6508771929824562,0.03803680981595092,2,Struggling,-0.45547149342727256,-2.154068369300587
0x39cef799f8b69da1995852eea189df24eb5cae3c,1767,14456.919335999997,8.181618186757214,1041.2178206116678,4857.970447085455,8584033.78,0.66553480475382,0.17609361939258847,2,Struggling,-0.3502614770348957,-1.628038659777562
0x3f9a0aadc7f04a7c9d75dc1b5a6ddd6e36486cf6,158,53496.247243,338.58384331012655,1841.9998617422505,3175.453734177215,501721.69,1.0,0.5421686746987951,1,Moderate,0.6456213699682221,1.0191918727077096
0x420ab45e0bd8863569a5efbb9c05d91f40624641,90,199505.592732,2216.728808133333,4184.625739980541,5379.187777777778,484126.9,1.0,0.03655352480417755,3,Volatile/Risky,4.820488015337324,0.35796667047049746
0x430f09841d65beb3f27765503d0f850b8bce7713,599,416541.872341,695.395446312187,2318.157272214664,2320.957696160267,1390253.66,1.0,0.6386418755052546,1,Moderate,1.2460580004532924,1.2618487126171176
